ID,Action,Severity,Category,Source,Location,Finding,Phase,Why it's bad,Required action
ACT-001,Enable query reduction settings in Trade report,high,PBI Report,Synthesis,Trade report settings,RCA-05,Phase 1 — Quick Wins (1-2 weeks),50-70% reduction in DQ query volume during interaction,Enable query reduction settings in Trade report
ACT-002,Add date WHERE filter to serve_fact_product_option_trade_daily_snapshot_v1,high,dbt Models,Synthesis,serve_fact_product_option_trade_daily_snapshot_v1.sql,"RCA-01,RCA-08",Phase 1 — Quick Wins (1-2 weeks),Reduce fact scan from 6B to ~2.2B rows per query,Add date WHERE filter to serve_fact_product_option_trade_daily_snapshot_v1
ACT-003,Switch 11 safe Dual tables to Import mode,high,Semantic Model,Synthesis,"Daily Financial HTD/MTD/YTD, Weekly Financial refs, Time Period, Earliest Global dates",RCA-03,Phase 1 — Quick Wins (1-2 weeks),Eliminates DQ queries for 11 tables,Switch 11 safe Dual tables to Import mode
ACT-004,Change 3 bidirectional relationships to one-direction,high,Semantic Model,Synthesis,"Option↔Option Ranking, Time Period↔Date, Fabric Composition↔Option",RCA-07,Phase 1 — Quick Wins (1-2 weeks),"Removes ambiguous filter paths, simplifies query plans",Change 3 bidirectional relationships to one-direction
ACT-005,Add liquid clustering to 6 product curated tables,high,dbt Models,Synthesis,curated_dim_product_option_* contract YAMLs,RCA-08,Phase 1 — Quick Wins (1-2 weeks),Enables data skipping on JOIN predicates for 2.5M-44.6M row tables,Add liquid clustering to 6 product curated tables
ACT-006,Refactor Last Year/Last Week DAX measure templates using DATEADD,medium,Semantic Model,Synthesis,@Measures (320+ measures),RCA-02,Phase 2 — Targeted Refactors (2-4 weeks),Reduce from 14 SQL subqueries to 2-3 per measure evaluation,Refactor Last Year/Last Week DAX measure templates using DATEADD
ACT-007,Remove 14 unreferenced columns from Daily Trade table,medium,Semantic Model,Synthesis,Daily Trade (97 → 83 columns),"RCA-01,RCA-06",Phase 2 — Targeted Refactors (2-4 weeks),~14% reduction in fact table scan width,Remove 14 unreferenced columns from Daily Trade table
ACT-008,Split Topline Performance pages (28-31 visuals → 12-15),medium,PBI Report,Synthesis,"Topline Performance, Topline Performance Date pages",RCA-05,Phase 2 — Targeted Refactors (2-4 weeks),Halve simultaneous DQ queries per page load,Split Topline Performance pages (28-31 visuals → 12-15)
ACT-009,Convert small cross-catalog dimensions to Import,medium,Semantic Model,Synthesis,"Country, Territory, Warehouse, Supplier",RCA-04,Phase 2 — Targeted Refactors (2-4 weeks),Eliminates cross-catalog JOINs for small lookup tables,Convert small cross-catalog dimensions to Import
ACT-010,Add column projection to serve views,medium,dbt Models,Synthesis,serve_fact_product_option_trade_daily_snapshot_v1 and dimension serve views,"RCA-04,RCA-06",Phase 2 — Targeted Refactors (2-4 weeks),Reduce bytes scanned per query by limiting column exposure,Add column projection to serve views
