ID,Action,Severity,Category,Source,Location,Finding,Phase,Why it's bad,Required action
ACT-001,Enable 'Apply' buttons on slicers and filters in Trade report settings,high,PBI Report,Synthesis,Trade report settings,F6,Phase 1: Quick Wins,High,Enable 'Apply' buttons on slicers and filters in Trade report settings
ACT-002,Disable cross-highlighting in Trade report settings,high,PBI Report,Synthesis,Trade report settings,F6,Phase 1: Quick Wins,High,Disable cross-highlighting in Trade report settings
ACT-003,"Consolidate 35 report-level filters — move page-specific filters to page level, remove unused",high,PBI Report,Synthesis,Trade report-level filters,F6,Phase 1: Quick Wins,High,"Consolidate 35 report-level filters — move page-specific filters to page level, remove unused"
ACT-004,"Switch 11 Dual-mode bridge tables to Import: Daily Financial Transform, Daily Financial HTD/MTD/YTD, Weekly Financial Transform/HTD/MTD/YTD, Earliest Global Available To Sell Date, Earliest Global Go Live Date, Time Period",high,Semantic Model,Synthesis,Financial bridge tables (11 tables),F7,Phase 1: Quick Wins,Medium,"Switch 11 Dual-mode bridge tables to Import: Daily Financial Transform, Daily Financial HTD/MTD/YTD, Weekly Financial Transform/HTD/MTD/YTD, Earliest Global Available To Sell Date, Earliest Global Go Live Date, Time Period"
ACT-005,Hide 14 unreferenced columns on Daily Trade in Tabular Editor,high,Semantic Model,Synthesis,Daily Trade table columns,F10,Phase 1: Quick Wins,Medium,Hide 14 unreferenced columns on Daily Trade in Tabular Editor
ACT-006,Add liquid_clustered_by to 6 curated product tables,high,dbt Models,Synthesis,curated_dim_product_option_* contracts,F12,Phase 1: Quick Wins,Medium,Add liquid_clustered_by to 6 curated product tables
ACT-007,Add WHERE dim_date_sk >= 2-year rolling boundary to serve_fact_product_option_trade_daily_snapshot_v1,medium,dbt Models,Synthesis,serve_fact_product_option_trade_daily_snapshot_v1,F2,Phase 2: Serve View Optimisation,Critical,Add WHERE dim_date_sk >= 2-year rolling boundary to serve_fact_product_option_trade_daily_snapshot_v1
ACT-008,Add WHERE filter to serve_dim_product_in_pricing_store_v1 for active records only,medium,dbt Models,Synthesis,serve_dim_product_in_pricing_store_v1,F9,Phase 2: Serve View Optimisation,High,Add WHERE filter to serve_dim_product_in_pricing_store_v1 for active records only
ACT-009,Evaluate materialised view for serve_fact_product_option_trade_daily_snapshot_v1,medium,dbt Models,Synthesis,serve_fact_product_option_trade_daily_snapshot_v1,F2,Phase 2: Serve View Optimisation,Critical,Evaluate materialised view for serve_fact_product_option_trade_daily_snapshot_v1
ACT-010,Reduce Topline Performance matrix from 43 to max 15 columns — move detail to drillthrough,low,PBI Visual,Synthesis,Trade / Topline Performance / matrix 0eac3eb0a1d581031ba4,F3,Phase 3: Report Design Optimisation,High,Reduce Topline Performance matrix from 43 to max 15 columns — move detail to drillthrough
ACT-011,Split Topline Performance Date page (31 visuals) into Summary + Detail bookmark views,low,PBI Report,Synthesis,Trade / Topline Performance Date,F4,Phase 3: Report Design Optimisation,High,Split Topline Performance Date page (31 visuals) into Summary + Detail bookmark views
